shape_id,shape_len,period
1 YELLOW ALT 25,15081,47
100 LATE 3,4498,14
100 LATE 5,11485,29
100N,25849,70
100N->IT,16246,45
100N-LATE,4606,14
100NIT->,9602,25
100NLTNT->,12077,31
100S,24831,70
100S->PLAZA,10669,35
100SLTNT->,11573,29
10E,16803,38
10W AMBP->LSG,11488,23
10W GOLD ALT 1,18958,37
10WLSG->,12119,31
10WSV1,3805,8
120W TEAL LATE 12,5670,19
12E TEAL 13,6130,17
12E TEAL WEEKEND 13,6130,20
12W TEAL 12,5683,19
12W TEAL WEEKEND 12,5683,19
130N SILVER EVENING 1,5788,18
130N SILVER EVENING 2,4657,14
130N SILVER LATE 1,5788,18
130N SILVER WEEKEND 1,5788,18
130N SILVER WEEKEND 2,4657,14
130N SILVERLATE 2,4657,14
130S SILVER EVENING 3,5896,17
130S SILVER LATE 3,5917,17
130S SILVER WEEKEND 3,5896,17
1415,21738,45
1420,17326,47
1425,23357,66
1505,20636,47
1525,11901,26
1N YELLOW 5,4603,15
1N YELLOW 9,9208,25
1S YELLOW 19,14549,33
20C GW->MP,9967,27
20C PS->GW,5862,15.5
20C->MP,15455,41
20U ->IU,9858,31
20U IT->PS,7859,20
20U IU->PS,5620,14
20U->PS,15478,45
220N ILLINI 10,10343,34
220S ILLINI 20,9655,34
22N,4226,12
22N 316,4226,12
22N ILLINI 10,10343,34
22N ILLINI LIMITED WEEKEND,4226,12
22S ILLINI 20,9655,34
22S ILLINI 21,3499,8
30NCMBLQ->BB,3736,10
30NIT->BB,12634,29
30NIT->CMBLQN,8897,21
30SBB->IT,12770,28
3N,9889,27
3S ALT 1,19345,43
3S->IT,12068,32
4E->GRNWRT:5,10669,26
4W,12989,35
4W BLUE ALT 1,22015,42
4W BLUE ALT PM 1440,15052,45
4W BLUE ALT PM 310,9324,20
4W BLUE ALT ]2,20656,49
50E GREEN 53,8553,24
50E HOPPER 102,12196,33
50E HOPPER 103,8177,22
50E->50WLNIGHT,6489,15
50E->MNBDY,9144,17
50E->PC,17657,48
50E-WKND-HP->CF,22013,70
50ELTNT->,6489,15
50W GREEN 55,23597,58
50W GREEN 57,20136,52
50W GREEN 59,15523,41
50W HOPPER 104,12879,34
50W HOPPER 105,7540,23
50W-LATE,5055,15
50WLTNT->,5055,15
5E,20928,64
5E EXP 1 ALT,27714,62
5E EXP->IU,5069,15
5E GREEN EXP 1,30412,71
5E GREEN EXP 2,9158,20
5E HOPPER 79,17865,50
5E NO CSQ,7771,14
5E->IU,11118,30
5EIU->LS,2096,7.9
5ETOCF,4670,12
5ETOCF->,4670,13
5EX->VET,17847,50
5W CCSJ SG,20825,58
5W HOPPER 80,15429,39
5W HOPPER 81,18570,47
5W HOPPER 83,7354,27
5W HOPPER 84,12396,31
5W HOPPER 85,10495,28
5W->740,14562,39
5W->IUE,9653,30
5W-AM,19906,55.6
5W-AM640,9549,25
5W-AMIUE->,9549,20
5W-AMMNLRMN,12119,31
5W-PM,19202,53
5W-PMFLPHILO->,14461,37
5W-PMLSE->,11428,27.1833
5W740->,6331,15
5WCF,2493,6
5WIUE->,9549,19
5WLSE->,11428,36
5WPM->LSE,7774,19
5WPM->LSE ONLY,7774,19
5WPMIT->,7106,17
5WPMLSE->IT,4321,18
5WX->CF,7634,25
5WXCF->,9593,23
5WXIUE->DNST,14608,34
5WXPM,17228,39
6WIT->CF HOPPER,5842,20
70E,21301,51
70E->50WLATE,7265,18
70E->LSG,14102,33
70E-WKND,22324,56
70W,20841,54
70W-WKND,14934,42
70WIT->CF,21443,58
7E,19388,44
7E ALT 2,3762,15
