shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled,area,color
[@2.0.86175868@]19,40.11747833,-88.18946,0,"0",1,#6F3662
[@2.0.86175868@]19,40.1174776,-88.1894948,1,"2.9596582396661852",1,#6F3662
[@2.0.86175868@]19,40.117486,-88.189495,2,"3.8989449602388353",1,#6F3662
[@2.0.86175868@]19,40.11751,-88.189495,3,"6.565795581846283",1,#6F3662
[@2.0.86175868@]19,40.117534,-88.189496,4,"9.234333549792499",1,#6F3662
[@2.0.86175868@]19,40.117559,-88.189497,5,"12.013591063830635",1,#6F3662
[@2.0.86175868@]19,40.117583,-88.189497,6,"14.680441685438083",1,#6F3662
[@2.0.86175868@]19,40.117582,-88.189455,7,"18.250840842104974",1,#6F3662
[@2.0.86175868@]19,40.117582,-88.189413,8,"21.8199790419405",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.189371,9,"25.39037819860739",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.189329,10,"28.95825499596498",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.189284,11,"32.78190521606173",1,#6F3662
[@2.0.86175868@]19,40.11758,-88.189239,12,"36.607909176129056",1,#6F3662
[@2.0.86175868@]19,40.11758,-88.189195,13,"40.348245473505465",1,#6F3662
[@2.0.86175868@]19,40.11758,-88.18915,14,"44.17424943357279",1,#6F3662
[@2.0.86175868@]19,40.11758,-88.189127,15,"46.13259777323589",1,#6F3662
[@2.0.86175868@]19,40.11758,-88.189103,16,"48.17642478615941",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.18908,17,"50.134773125822505",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.189057,18,"52.08851899533989",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.189034,19,"54.04226486485727",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.18901,20,"56.07947396397999",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.188987,21,"58.03321983349738",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.188964,22,"59.98696570301476",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.188905,23,"64.99958893754514",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.188846,24,"70.01221217207552",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.188787,25,"75.0248354066059",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.188727,26,"80.12293759644018",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.188704,27,"82.07668346595756",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.188681,28,"84.03042933547493",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.188658,29,"85.98417520499231",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.188634,30,"88.02138430411503",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.188611,31,"89.97513017363241",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.188588,32,"91.92887604314978",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.188565,33,"93.88262191266716",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.188542,34,"95.83636778218454",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.188497,35,"99.66001800228129",1,#6F3662
[@2.0.86175868@]19,40.117581,-88.188452,36,"103.48366822237804",1,#6F3662
[@2.0.86175868@]19,40.117582,-88.188408,37,"107.22400451975446",1,#6F3662
[@2.0.86175868@]19,40.117582,-88.188363,38,"111.04883179089343",1,#6F3662
[@2.0.86175868@]19,40.117582,-88.188317,39,"114.95862679670003",1,#6F3662
[@2.0.86175868@]19,40.117583,-88.188271,40,"118.86842180250663",1,#6F3662
[@2.0.86175868@]19,40.117583,-88.188225,41,"122.77821680831323",1,#6F3662
[@2.0.86175868@]19,40.117583,-88.188179,42,"126.68801181411983",1,#6F3662
[@2.0.86175868@]19,40.117584,-88.188154,43,"128.81388328202436",1,#6F3662
[@2.0.86175868@]19,40.117584,-88.188129,44,"130.93763629253382",1,#6F3662
[@2.0.86175868@]19,40.117584,-88.188104,45,"133.06138930304328",1,#6F3662
[@2.0.86175868@]19,40.117585,-88.188079,46,"135.1872607709478",1,#6F3662
[@2.0.86175868@]19,40.117585,-88.188054,47,"137.30889320877617",1,#6F3662
[@2.0.86175868@]19,40.117585,-88.188028,48,"139.51783762504158",1,#6F3662
[@2.0.86175868@]19,40.117586,-88.188003,49,"141.6437090929461",1,#6F3662
[@2.0.86175868@]19,40.117586,-88.187978,50,"143.7695805608506",1,#6F3662
[@2.0.86175868@]19,40.117587,-88.187929,51,"147.9357666008641",1,#6F3662
[@2.0.86175868@]19,40.117587,-88.18788,52,"152.09979119531576",1,#6F3662
[@2.0.86175868@]19,40.117587,-88.18783,53,"156.34941620176016",1,#6F3662
[@2.0.86175868@]19,40.117587,-88.18778,54,"160.59904120820457",1,#6F3662
[@2.0.86175868@]19,40.117588,-88.187733,55,"164.59537681298298",1,#6F3662
[@2.0.86175868@]19,40.117588,-88.187685,56,"168.67531515764045",1,#6F3662
[@2.0.86175868@]19,40.117588,-88.187637,57,"172.75525350229793",1,#6F3662
[@2.0.86175868@]19,40.117587,-88.18759,58,"176.75158910707634",1,#6F3662
[@2.0.86175868@]19,40.117587,-88.187566,59,"178.79100656359446",1,#6F3662
[@2.0.86175868@]19,40.117586,-88.187542,60,"180.83483357651798",1,#6F3662
[@2.0.86175868@]19,40.117584,-88.187518,61,"182.88525714348248",1,#6F3662
[@2.0.86175868@]19,40.117583,-88.187494,62,"184.9246746000006",1,#6F3662
[@2.0.86175868@]19,40.117579,-88.187465,63,"187.4296388585353",1,#6F3662
[@2.0.86175868@]19,40.117575,-88.187436,64,"189.93460311707",1,#6F3662
[@2.0.86175868@]19,40.11757,-88.187408,65,"192.37770685838996",1,#6F3662
[@2.0.86175868@]19,40.117564,-88.187379,66,"194.9307280967277",1,#6F3662
[@2.0.86175868@]19,40.117557,-88.187345,67,"197.9221545979268",1,#6F3662
[@2.0.86175868@]19,40.117549,-88.187311,68,"200.94352605475333",1,#6F3662
[@2.0.86175868@]19,40.11754,-88.187278,69,"203.92289030318895",1,#6F3662
[@2.0.86175868@]19,40.117531,-88.187245,70,"206.90074333456135",1,#6F3662
[@2.0.86175868@]19,40.117522,-88.187215,71,"209.64085442130175",1,#6F3662
[@2.0.86175868@]19,40.117513,-88.187185,72,"212.38096550804215",1,#6F3662
[@2.0.86175868@]19,40.117503,-88.187156,73,"215.08802217527833",1,#6F3662
[@2.0.86175868@]19,40.117492,-88.187128,74,"217.76498092138985",1,#6F3662
[@2.0.86175868@]19,40.117481,-88.187102,75,"220.28963437661173",1,#6F3662
[@2.0.86175868@]19,40.117468,-88.187076,76,"222.92934077383248",1,#6F3662
[@2.0.86175868@]19,40.117456,-88.187051,77,"225.43789638081856",1,#6F3662
[@2.0.86175868@]19,40.117442,-88.187026,78,"228.07077299583838",1,#6F3662
[@2.0.86175868@]19,40.117433,-88.187008,79,"229.89833491197808",1,#6F3662
[@2.0.86175868@]19,40.117423,-88.18699,80,"231.7864685850496",1,#6F3662
[@2.0.86175868@]19,40.117412,-88.186971,81,"233.8081516400142",1,#6F3662
[@2.0.86175868@]19,40.117402,-88.186953,82,"235.69866781709095",1,#6F3662
[@2.0.86175868@]19,40.117392,-88.186935,83,"237.59156349942305",1,#6F3662
[@2.0.86175868@]19,40.117382,-88.186917,84,"239.4820796764998",1,#6F3662
[@2.0.86175868@]19,40.117372,-88.186899,85,"241.3749753588319",1,#6F3662
[@2.0.86175868@]19,40.117362,-88.186881,86,"243.26549153590867",1,#6F3662
[@2.0.86175868@]19,40.117341,-88.186843,87,"247.2505475934811",1,#6F3662
[@2.0.86175868@]19,40.117321,-88.186806,88,"251.10000979884182",1,#6F3662
[@2.0.86175868@]19,40.117301,-88.186769,89,"254.95064116511193",1,#6F3662
[@2.0.86175868@]19,40.117281,-88.186732,90,"258.80127253138204",1,#6F3662
[@2.0.86175868@]19,40.117271,-88.186714,91,"260.69178870845883",1,#6F3662
[@2.0.86175868@]19,40.117261,-88.186696,92,"262.5823048855356",1,#6F3662
[@2.0.86175868@]19,40.117251,-88.186678,93,"264.4704385586071",1,#6F3662
[@2.0.86175868@]19,40.117242,-88.18666,94,"266.30046183871224",1,#6F3662
[@2.0.86175868@]19,40.117232,-88.186641,95,"268.25651029697156",1,#6F3662
[@2.0.86175868@]19,40.117222,-88.186623,96,"270.14464397004303",1,#6F3662
[@2.0.86175868@]19,40.117212,-88.186605,97,"272.0327776431145",1,#6F3662
[@2.0.86175868@]19,40.117203,-88.186587,98,"273.8578748758453",1,#6F3662
[@2.0.86175868@]19,40.117193,-88.18657,99,"275.6829721085761",1,#6F3662
[@2.0.86175868@]19,40.117183,-88.186552,100,"277.5758677909082",1,#6F3662
[@2.0.86175868@]19,40.117173,-88.186535,101,"279.3984970073204",1,#6F3662
[@2.0.86175868@]19,40.117163,-88.186517,102,"281.29139268965247",1,#6F3662
[@2.0.86175868@]19,40.117153,-88.1865,103,"283.11155054327855",1,#6F3662
[@2.0.86175868@]19,40.117143,-88.186483,104,"284.93170839690464",1,#6F3662
[@2.0.86175868@]19,40.117133,-88.186466,105,"286.7543376133168",1,#6F3662
[@2.0.86175868@]19,40.117123,-88.186448,106,"288.6472332956489",1,#6F3662
[@2.0.86175868@]19,40.117107,-88.186416,107,"291.8982499404117",1,#6F3662
[@2.0.86175868@]19,40.117091,-88.186382,108,"295.29020876362637",1,#6F3662
[@2.0.86175868@]19,40.1170852,-88.1863698,109,"296.50529490790115",1,#6F3662
