shape_id,shape_len
"1 YELLOW ALT 25",15081
"100 LATE 3",4498
"100 LATE 5",11485
100N,25849
100N->IT,16246
100N-LATE,4606
100NIT->,9602
100NLTNT->,12077
100S,24831
100S->PLAZA,10669
100SLTNT->,11573
10E,16803
"10W AMBP->LSG",11488
"10W GOLD ALT 1",18958
10WLSG->,12119
10WSV1,3805
"120W TEAL LATE 12",5670
"12E TEAL 13",6130
"12E TEAL WEEKEND 13",6130
"12W TEAL 12",5683
"12W TEAL WEEKEND 12",5683
"130N SILVER EVENING 1",5788
"130N SILVER EVENING 2",4657
"130N SILVER LATE 1",5788
"130N SILVER WEEKEND 1",5788
"130N SILVER WEEKEND 2",4657
"130N SILVERLATE 2",4657
"130S SILVER EVENING 3",5896
"130S SILVER LATE 3",5917
"130S SILVER WEEKEND 3",5896
1415,21738
1420,17326
1425,23357
1505,20636
1525,11901
"1N YELLOW 5",4603
"1N YELLOW 9",9208
"1S YELLOW 19",14549
"20C GW->MP",9967
"20C PS->GW",5862
20C->MP,15455
"20U ->IU",9858
"20U IT->PS",7859
"20U IU->PS",5620
20U->PS,15478
"220N ILLINI 10",10343
"220S ILLINI 20",9655
22N,4226
"22N 316",4226
"22N ILLINI 10",10343
"22N ILLINI LIMITED WEEKEND",4226
"22S ILLINI 20",9655
"22S ILLINI 21",3499
30NCMBLQ->BB,3736
30NIT->BB,12634
30NIT->CMBLQN,8897
30SBB->IT,12770
3N,9889
"3S ALT 1",19345
3S->IT,12068
4E->GRNWRT:5,10669
4W,12989
"4W BLUE ALT 1",22015
"4W BLUE ALT PM 1440",15052
"4W BLUE ALT PM 310",9324
"4W BLUE ALT ]2",20656
"50E GREEN 53",8553
"50E HOPPER 102",12196
"50E HOPPER 103",8177
50E->50WLNIGHT,6489
50E->MNBDY,9144
50E->PC,17657
50E-WKND-HP->CF,22013
50ELTNT->,6489
"50W GREEN 55",23597
"50W GREEN 57",20136
"50W GREEN 59",15523
"50W HOPPER 104",12879
"50W HOPPER 105",7540
50W-LATE,5055
50WLTNT->,5055
5E,20928
"5E EXP 1 ALT",27714
"5E EXP->IU",5069
"5E GREEN EXP 1",30412
"5E GREEN EXP 2",9158
