shape_id,trips_per_hour,color
1 YELLOW ALT 25,1.2766,#EDF7B4
100 LATE 3,4.2857,#82CCBB
100 LATE 5,2.0690,#EDF7B4
100N,6.0000,#82CCBB
100N->IT,1.3333,#EDF7B4
100N-LATE,4.2857,#82CCBB
100NIT->,2.4000,#EDF7B4
100NLTNT->,1.9355,#EDF7B4
100S,6.0000,#82CCBB
100S->PLAZA,1.7143,#EDF7B4
100SLTNT->,2.0690,#EDF7B4
10E,1.3636,#EDF7B4
10W AMBP->LSG,2.6087,#EDF7B4
10W GOLD ALT 1,1.6216,#EDF7B4
10WLSG->,1.9355,#EDF7B4
10WSV1,7.5000,#82CCBB
120W TEAL LATE 12,3.1579,#EDF7B4
12E TEAL 13,3.0000,#EDF7B4
12E TEAL WEEKEND 13,3.0000,#EDF7B4
12W TEAL 12,3.1579,#EDF7B4
12W TEAL WEEKEND 12,3.1579,#EDF7B4
130N SILVER EVENING 1,3.3333,#EDF7B4
130N SILVER EVENING 2,4.2857,#82CCBB
130N SILVER LATE 1,3.3333,#EDF7B4
130N SILVER WEEKEND 1,3.3333,#EDF7B4
130N SILVER WEEKEND 2,4.2857,#82CCBB
130N SILVERLATE 2,4.2857,#82CCBB
130S SILVER EVENING 3,3.5294,#EDF7B4
130S SILVER LATE 3,3.5294,#EDF7B4
130S SILVER WEEKEND 3,3.5294,#EDF7B4
1415,1.3333,#EDF7B4
1420,1.2766,#EDF7B4
1425,10.0000,#3180B6
1505,1.2766,#EDF7B4
1525,2.3077,#EDF7B4
1N YELLOW 5,4.0000,#82CCBB
1N YELLOW 9,2.4000,#EDF7B4
1S YELLOW 19,1.8182,#EDF7B4
20C GW->MP,2.2222,#EDF7B4
20C PS->GW,4.0000,#82CCBB
20C->MP,1.4634,#EDF7B4
20U ->IU,1.9355,#EDF7B4
20U IT->PS,3.0000,#EDF7B4
20U IU->PS,4.2857,#82CCBB
20U->PS,1.3333,#EDF7B4
220N ILLINI 10,1.7647,#EDF7B4
