shape_id,shape_len,period,speed_miles_per_minute,color
1 YELLOW ALT 25,15081,47,320.8723404,#3180B6
100 LATE 3,4498,14,321.2857143,#3180B6
100 LATE 5,11485,29,396.0344828,#3180B6
100N,25849,70,369.2714286,#3180B6
100N->IT,16246,45,361.0222222,#3180B6
100N-LATE,4606,14,329,#3180B6
100NIT->,9602,25,384.08,#3180B6
100NLTNT->,12077,31,389.5806452,#3180B6
100S,24831,70,354.7285714,#3180B6
100S->PLAZA,10669,35,304.8285714,#3180B6
100SLTNT->,11573,29,399.0689655,#3180B6
10E,16803,38,442.1842105,#3180B6
10W AMBP->LSG,11488,23,499.4782609,#3180B6
10W GOLD ALT 1,18958,37,512.3783784,#3180B6
10WLSG->,12119,31,390.9354839,#3180B6
10WSV1,3805,8,475.625,#3180B6
120W TEAL LATE 12,5670,19,298.4210526,#EDF7B4
12E TEAL 13,6130,17,360.5882353,#3180B6
12E TEAL WEEKEND 13,6130,20,306.5,#3180B6
12W TEAL 12,5683,19,299.1052632,#EDF7B4
12W TEAL WEEKEND 12,5683,19,299.1052632,#EDF7B4
130N SILVER EVENING 1,5788,18,321.5555556,#3180B6
130N SILVER EVENING 2,4657,14,332.6428571,#3180B6
130N SILVER LATE 1,5788,18,321.5555556,#3180B6
130N SILVER WEEKEND 1,5788,18,321.5555556,#3180B6
130N SILVER WEEKEND 2,4657,14,332.6428571,#3180B6
130N SILVERLATE 2,4657,14,332.6428571,#3180B6
130S SILVER EVENING 3,5896,17,346.8235294,#3180B6
130S SILVER LATE 3,5917,17,348.0588235,#3180B6
130S SILVER WEEKEND 3,5896,17,346.8235294,#3180B6
1415,21738,45,483.0666667,#3180B6
1420,17326,47,368.6382979,#3180B6
1425,23357,66,353.8939394,#3180B6
1505,20636,47,439.0638298,#3180B6
1525,11901,26,457.7307692,#3180B6
1N YELLOW 5,4603,15,306.8666667,#3180B6
1N YELLOW 9,9208,25,368.32,#3180B6
1S YELLOW 19,14549,33,440.8787879,#3180B6
20C GW->MP,9967,27,369.1481481,#3180B6
20C PS->GW,5862,15.5,366.375,#3180B6
20C->MP,15455,41,376.9512195,#3180B6
20U ->IU,9858,31,318,#3180B6
20U IT->PS,7859,20,392.95,#3180B6
20U IU->PS,5620,14,401.4285714,#3180B6
20U->PS,15478,45,343.9555556,#3180B6
220N ILLINI 10,10343,34,304.2058824,#3180B6
220S ILLINI 20,9655,34,283.9705882,#EDF7B4
22N,4226,12,352.1666667,#3180B6
22N 316,4226,12,352.1666667,#3180B6
22N ILLINI 10,10343,34,304.2058824,#3180B6
22N ILLINI LIMITED WEEKEND,4226,12,352.1666667,#3180B6
